,hlayer_size,activation,crossover_method,mutation_method,mutation_rate,gen,avg,best
0,"(1,)",logistic,one-point,nullify,0.001,1.0,8.44,10.0
0,"(1,)",logistic,one-point,nullify,0.001,2.0,8.46,10.0
0,"(1,)",logistic,one-point,nullify,0.001,3.0,8.36,10.0
0,"(1,)",logistic,one-point,nullify,0.001,4.0,8.32,10.0
0,"(1,)",logistic,one-point,nullify,0.001,5.0,8.08,9.0
0,"(1,)",logistic,one-point,nullify,0.001,6.0,8.58,10.0
0,"(1,)",logistic,one-point,nullify,0.001,7.0,8.32,10.0
0,"(1,)",logistic,one-point,nullify,0.001,8.0,8.54,10.0
0,"(1,)",logistic,one-point,nullify,0.001,9.0,8.26,9.0
0,"(1,)",logistic,one-point,nullify,0.001,10.0,8.44,9.0
1,"(1,)",logistic,one-point,nullify,0.01,1.0,8.42,10.0
1,"(1,)",logistic,one-point,nullify,0.01,2.0,8.32,9.0
1,"(1,)",logistic,one-point,nullify,0.01,3.0,8.3,10.0
1,"(1,)",logistic,one-point,nullify,0.01,4.0,8.18,10.0
1,"(1,)",logistic,one-point,nullify,0.01,5.0,8.44,10.0
1,"(1,)",logistic,one-point,nullify,0.01,6.0,8.12,10.0
1,"(1,)",logistic,one-point,nullify,0.01,7.0,8.2,10.0
1,"(1,)",logistic,one-point,nullify,0.01,8.0,8.26,9.0
1,"(1,)",logistic,one-point,nullify,0.01,9.0,8.24,10.0
1,"(1,)",logistic,one-point,nullify,0.01,10.0,8.36,10.0
2,"(1,)",logistic,one-point,nullify,0.1,1.0,8.24,10.0
2,"(1,)",logistic,one-point,nullify,0.1,2.0,8.42,10.0
2,"(1,)",logistic,one-point,nullify,0.1,3.0,8.3,10.0
2,"(1,)",logistic,one-point,nullify,0.1,4.0,8.42,10.0
2,"(1,)",logistic,one-point,nullify,0.1,5.0,8.3,10.0
2,"(1,)",logistic,one-point,nullify,0.1,6.0,8.2,9.0
2,"(1,)",logistic,one-point,nullify,0.1,7.0,8.48,10.0
2,"(1,)",logistic,one-point,nullify,0.1,8.0,8.32,10.0
2,"(1,)",logistic,one-point,nullify,0.1,9.0,8.32,10.0
2,"(1,)",logistic,one-point,nullify,0.1,10.0,8.54,10.0
3,"(1,)",logistic,one-point,nullify,0.5,1.0,8.3,10.0
3,"(1,)",logistic,one-point,nullify,0.5,2.0,8.32,10.0
3,"(1,)",logistic,one-point,nullify,0.5,3.0,8.4,9.0
3,"(1,)",logistic,one-point,nullify,0.5,4.0,8.28,10.0
3,"(1,)",logistic,one-point,nullify,0.5,5.0,8.4,10.0
3,"(1,)",logistic,one-point,nullify,0.5,6.0,8.32,9.0
3,"(1,)",logistic,one-point,nullify,0.5,7.0,8.52,10.0
3,"(1,)",logistic,one-point,nullify,0.5,8.0,8.46,10.0
3,"(1,)",logistic,one-point,nullify,0.5,9.0,8.54,10.0
3,"(1,)",logistic,one-point,nullify,0.5,10.0,8.36,9.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,1.0,8.46,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,2.0,8.26,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,3.0,8.34,9.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,4.0,8.38,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,5.0,8.42,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,6.0,8.46,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,7.0,8.5,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,8.0,8.3,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,9.0,8.32,10.0
4,"(1,)",logistic,one-point,nullify,lambda s: 5/s,10.0,8.5,10.0
5,"(1,)",logistic,one-point,permutate,0.001,1.0,8.38,10.0
5,"(1,)",logistic,one-point,permutate,0.001,2.0,8.46,9.0
5,"(1,)",logistic,one-point,permutate,0.001,3.0,8.42,10.0
5,"(1,)",logistic,one-point,permutate,0.001,4.0,8.58,10.0
5,"(1,)",logistic,one-point,permutate,0.001,5.0,8.32,10.0
5,"(1,)",logistic,one-point,permutate,0.001,6.0,8.5,10.0
5,"(1,)",logistic,one-point,permutate,0.001,7.0,8.44,10.0
5,"(1,)",logistic,one-point,permutate,0.001,8.0,8.32,10.0
5,"(1,)",logistic,one-point,permutate,0.001,9.0,8.28,10.0
